GENE,HITS
TP53,31
PIK3CA,38
PTEN,6
APC,14
VHL,1
KRAS,41
MLL3,0
MLL2,0
ARID1A,0
PBRM1,0
NAV3,0
EGFR,24
NF1,2
PIK3R1,40
CDKN2A,7
SETD2,1
ATM,22
RB1,7
GATA3,1
NOTCH1,15
FBXW7,5
MTOR,11
CTNNB1,13
DNMT3A,3
ATRX,0
LRRK2,1
BRCA2,6
MAP3K1,5
MALAT1,0
FLT3,1
KEAP1,0
TSHZ3,0
CDH1,6
ARHGAP35,3
EP300,24
ATR,10
NSD1,1
POLQ,1
CTCF,1
NFE2L2,0
TAF1,9
STAG2,6
SETBP1,0
NCOR1,10
USP9X,2
EPHA3,3
ERBB4,15
BAP1,0
KDM5C,1
KDM6A,2
MLL4/KMT2B,0
BRCA1,15
TLR4,10
PDGFRA,6
NPM1,3
TSHZ2,0
HGF,2
PIK3CG,3
TET2,1
ARID5B,1
EPHB6,4
RUNX1,0
CDK12,1
SMC1A,6
BRAF,9
NRAS,41
IDH1,2
PPP2R1A,9
FGFR2,17
MECOM,1
MAP2K4,5
EPPK1,0
KIT,6
SMAD4,9
TBX3,0
ASXL1,0
SF3B1,3
SMC3,6
AR,2
LIFR,1
TGFBR2,9
SIN3A,3
PTPN11,35
RPL22,11
FGFR3,17
ACVR1B,3
WT1,0
CHEK2,7
RAD21,6
PRX,0
AKT1,27
SMAD2,11
STK11,3
AXIN2,3
AJUBA,2
EZH2,4
IDH2,1
NFE2L3,0
U2AF1,4
EIF4A2,7
FOXA1,0
PHF6,0
TBL1XR1,5
CDKN1B,12
ERCC2,31
MAPK8IP1,0
CRIPAK,0
SPOP,1
RPL5,11
CBFB,0
SOX9,1
CCND1,6
CDKN1A,12
HIST1H1C,0
ACVR2A,4
ELF3,0
VEZF1,0
CEBPA,1
FOXA2,0
H3F3C,0
HIST1H2BD,1
EGR3,0
PCBP1,2
SOX17,1
CDKN2C,4
B4GALT3,2
MIR142,0
BLCA,0
BRCA,0
COAD/READ,0
GBM,0
HNSC,0
KIRC,0
AML,0
LUAD,0
LUSCOV,0
UCEC,0
